ACTUAL_DATE,TOTALS,ANNUAL_CHANGE,SkilledIndex,UnskilledIndex,Auckland,Wellington,North Island Other,Canterbury,South Island Other,Business services,Construction,Education,Health care,Hospitality,IT,Manufacturing,Primary,Sales,Other,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Sales Workers,Machinery Operators and Drivers,Labourers,Highly-Skilled,Skilled,Semi-Skilled,Low-Skilled,Unskilled
01/05/2007,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
01/06/2007,92.1,0,91.5,92.5,91.8,93.5,94.4,94.1,76.6,91.6,92.5,97.4,91.4,86.7,93.8,93.5,66.3,92.9,90.8,89.7,92.1,88.3,91.7,95.2,93.8,80.2,89.2,91.2,92.8,89.6,92.8,91.2
01/07/2007,95.7,0,95.3,94.9,96.4,95.1,95.5,98.6,84,93.2,96.8,71.5,104.2,104.2,95.9,96.4,74.8,102,90.8,96.4,92.9,97.2,97.3,95.9,98.7,92.3,89.5,95.1,93.7,101.7,94.1,97.4
01/08/2007,103.2,0,102,103.1,101.2,98.8,113.3,109.5,106.4,96.9,107.3,118.2,111.8,129.6,94.5,112.1,89.4,105.2,103.8,101.1,98.6,106.4,122.7,103.5,98.6,109.6,110.8,97.7,110.8,111.6,103.1,102.8
01/09/2007,97,0,96.7,96.4,93.9,95.1,105.7,103.9,107.4,84.8,103.1,166.1,99.8,124.1,92.3,109.8,71.3,98,84.1,93.4,98.4,98.5,111.7,90.8,96.9,104.7,103.5,91.1,112.1,98.8,95.3,100.2
01/10/2007,102.2,0,104.6,97,96.3,101,118.6,110.5,119.9,85.9,106.3,232.2,116.5,129,93.7,112.6,88.3,99.9,95.8,99.2,109.9,104.4,112.3,91.4,93.3,108,107,97.5,126.5,100.8,96.4,99
01/11/2007,101.1,0,106.6,90.2,96.2,98.8,118.1,102.9,122.9,88,116.7,207,107.2,109.2,98.3,112.8,76.2,90.6,93.9,108.6,111.1,100.7,105.8,87.1,82.5,108.4,99.2,103.2,120.7,94.9,90.4,89.3
01/12/2007,70,0,75,60.3,65.1,67.8,83.7,71.1,105.8,59.4,94.5,126.6,71.5,69.3,68.5,71.4,47.5,60.2,79.5,75.6,80.5,71.8,63,57,55.3,65.4,71.2,75.2,78.7,62.8,60.6,58.9
01/01/2008,101.8,0,101.9,98.6,97.1,97,113.3,119.2,117.4,93.1,127.9,51.7,118.9,132.4,89.5,116.6,83,103.3,109.4,109.4,97.3,109.4,122.7,94.3,89.4,109,119.5,104.8,91.5,107.2,96.6,105.3
01/02/2008,106,0,102.5,108.9,101.1,100.1,122.1,118.5,125.3,95.4,135.2,107.8,120.9,127.7,91.3,125.1,97.2,104,98.2,92.4,103.7,113.1,133.2,99.4,106,128.8,129.5,100.5,105.9,108.6,108.9,109.2
01/03/2008,100.5,0,99,99.8,96.4,95.4,116.6,110.3,109.8,91.8,127,107.6,114.3,111.3,86.4,121.7,94.3,95.5,96.2,102,97.5,108.4,115.9,95,88.9,115.1,108.8,99,96.9,105.4,99.4,101.3
01/04/2008,106.5,0,107.6,101.8,102.7,103.5,118.4,114.9,118.6,96.6,132.4,109.4,131.3,111.9,97.2,113.6,107.5,101.2,112.2,108.9,109,109.1,117.9,98,92.2,114.4,114.8,110,101.5,104.9,101.4,103.3
01/05/2008,109.7,9.7,107.5,111.2,106.2,108.6,121.1,113.9,118.1,98.2,135.9,96.6,141.2,108.8,105.3,113.5,111,107,115.9,97.5,111.2,113.2,131.9,104.5,108.2,121.6,116,108.4,106.9,102,112.5,106.5
01/06/2008,101.6,10.3,104.2,94.7,97.6,102.9,109.3,107.9,111.2,88.1,135.6,101.8,130.2,92.1,101.3,99.7,80.1,95.4,110.5,101.1,109.3,105.5,111.5,92.2,81.6,97.7,107,107.9,94.6,101,95.6,91.5
01/07/2008,108.1,13,106.7,109,102.5,110.9,115.7,119.4,122.9,95.6,139.7,93.4,143.2,104.7,106.8,103.6,120.2,98.9,132.4,94.1,111.3,118.7,141.1,99.1,103,117.8,117,108.7,98.9,112.7,111.5,100.2
01/08/2008,98.3,-4.7,101.6,89.6,92,94.6,117,108,124.3,81.4,133,119.4,134.7,105.9,91.1,95.5,116.3,88.7,126,98.2,106.2,106.5,123.7,82.7,78.6,97.3,103,104.1,93.3,105.2,89,91.7
01/09/2008,101.5,4.6,107.2,88.8,89.4,101,133,116.7,138.3,78.4,140.3,199.9,133.1,124,89.8,98.2,126.6,88.2,121.1,100.5,115.3,115.2,128,78.7,73.2,108.3,104.8,104.6,115,107.1,88.7,88.9
01/10/2008,94.1,-7.9,100.7,80.1,79.4,92.6,134.6,111.5,140,68,124.2,272.9,134.2,106.1,81.3,94.7,99.7,78.5,112.9,90.6,113.3,99.9,119.1,69.2,67,99.1,95,95.2,121.5,87.8,78.9,84.4
01/11/2008,77.5,-23.3,84.1,62.7,64,80.2,111.2,87.5,121.6,55.5,105.3,216.3,127.4,72.7,68.9,72.2,97.2,60.9,102.9,75.2,95.6,84,98.2,55.4,50.5,67.7,66.8,81.7,96,70.4,62.8,62.5
01/12/2008,54.2,-22.7,58.1,45.8,45.5,54.3,76.4,64.8,79.6,40.4,83.4,94.2,99.9,59.6,45.4,52.4,69.2,42.7,57.9,55.9,64,61,75.9,39.5,32.1,58.1,48.3,60.5,54.4,49.2,47.4,40.3
01/01/2009,65.7,-35.5,67.5,59.4,52.9,68.7,94.8,78.2,107,48.5,87,105.6,129,83.1,52.1,66.3,80.5,60,86.3,64.4,72.3,72.1,102.1,48.9,48.9,70.8,69.4,69.4,64.2,61.5,59,60.5
01/02/2009,58.4,-44.9,60,53.5,47.4,61.6,82.1,70.9,92.1,42.5,73.4,99.4,121.8,78.2,46.5,58.6,66.7,55.4,68.9,55.9,64.5,61.3,101.8,42.3,45.9,62.4,71,60.8,58.5,57.4,53,55.6
01/03/2009,58.4,-41.9,60.5,52.2,47.3,57.7,85.8,73.1,97,41,72.8,128.8,126,72.5,45.4,56.2,67,54.3,72.4,58,66.2,59.7,101.9,40.9,45.1,57.1,59.5,60.9,61.7,54.4,52,52.9
01/04/2009,51.8,-51.4,52.9,47,42.9,48.4,78.1,62.5,85.8,36.9,63.2,105.2,114.1,55.9,38.3,50.9,55.3,53.5,64.7,52.1,55.9,52.2,94.3,35.6,45.3,51.7,55.7,53.2,50.4,57.4,45.3,52.9
01/05/2009,56,-49,57.6,49.9,45,54.7,85.8,71.8,85.1,40.5,65.7,121.8,124.2,58.4,41.7,52.4,69.2,56.4,72.9,53,62.5,57,102.1,39.2,47.4,45.8,59.2,57.3,57.7,60,48.2,55.7
01/06/2009,52.3,-48.5,53.5,47.4,43,51,75.8,66.1,83.1,35.8,59.7,117.2,122.1,55.3,40.2,46,61.4,54.5,70.7,51,57.4,51.1,99.8,35.3,47.4,43.1,62.6,53.9,52.3,53.7,45.4,54.4
01/07/2009,54.1,-50,55.5,48.9,45.3,51,77.8,69.2,85.3,35.8,62,90.4,123.7,68.5,41.8,48.8,68.8,61.6,77.6,56,55.9,59.3,106.3,35.3,49.9,52.3,62.2,56,49.6,67.2,46.7,56.3
01/08/2009,54.3,-44.8,55.2,49.7,43.7,49.7,82.6,72.8,95.6,34.1,61.6,121.9,111.2,77.8,41.3,55.4,61.4,61.8,67.3,55.9,56.2,57.4,111.4,35.3,48.2,54.3,68.1,53.4,58.6,60.8,47.7,56.6
01/09/2009,61.6,-39.3,63.8,55.1,50.1,52.2,96.7,83.3,111.8,36.8,71.4,205.7,124.2,95,38.7,61.4,57.5,66.4,75.7,61.3,67.1,65.8,121.7,36.9,57.8,65.3,77.8,55.8,85.4,69,52,66.1
01/10/2009,64.2,-31.8,68.2,54.1,50.6,55.3,102.4,87.8,128.4,37.1,67.6,266.9,121.2,94.7,41.6,58.8,69.5,70.1,77.8,63.3,74.9,64.4,117.2,36.9,59.5,66.2,66.3,57.7,98.3,70.5,50.7,65.7
01/11/2009,57.1,-26.3,59.9,49.1,44.8,50.8,96,70.3,108.6,34.1,60.3,197.7,107,76.3,40.7,62.4,63.1,62.9,70.8,57.1,63.9,60,99.2,34.9,49.7,65.2,66.9,53,78.6,64,47.3,55
01/12/2009,41.3,-23.7,43.4,34.8,32.9,37,65,52.8,78.5,27.1,45.2,91.5,92.2,59.4,30.4,42.4,46.5,43.2,55.3,45,44.4,43.5,71.3,27.8,31.7,43.5,41.1,42.5,45.1,46,34.6,35.6
01/01/2010,60.2,-8.3,59,59.8,49.6,50.8,94.5,77.1,110.7,38.3,69.6,96.3,119.9,96.3,37.7,67.5,83,77.4,77.9,61.7,56.3,68.2,117.4,42.6,62.4,73.7,77.1,56.1,61,77.2,56.8,70.2
01/02/2010,61.8,5.8,60.2,61.9,50.8,57.2,95,76.3,100,41.5,70.1,102.1,116.3,97.3,42.3,73.2,84.4,73.7,74.6,60.6,58.5,68.5,118.6,45.9,60.8,80.1,83.9,57.5,62.9,74.9,60,68.7
01/03/2010,72.4,24.1,71.6,70.7,60.1,66.9,110.1,87.6,120.9,48.7,80.4,127.2,134.9,98.2,55.4,87.4,90.8,86.6,77.7,70.9,70.9,78.8,133.5,53.2,71.1,87.6,93.8,69,75.1,82.6,67.7,81.2
01/04/2010,64.2,24,64.2,61.7,54.5,61.5,94.5,73.9,97,43.8,72.2,84.7,120.2,82.7,51.6,76.9,88.7,77.2,75.3,66.9,62.9,67.6,116.6,47,63.8,73.8,76.4,64.8,57.4,77.5,59.4,69.6
01/05/2010,70,25,71.1,64.3,58.4,67.8,107.2,76,110.4,47.4,79.4,131.4,133.5,84.7,57.9,75.5,83,79.6,76.9,69.7,72.6,74.1,126,49.1,65.1,75.2,79.9,68.7,72.1,87,61.9,72.3
01/06/2010,68.4,30.9,69.8,62.4,59,65.5,97.5,82.9,91.3,47,77.8,118.4,121.7,77.4,59.8,75.3,85.5,79.9,71.9,68.5,70.9,73,111.3,49.4,64.1,76.8,77.9,68.8,68.5,82.1,59.7,71.3
01/07/2010,71.6,32.4,72.9,64.1,62,66.8,103,84.4,102.6,48.1,82.3,80.5,121.5,91.2,67.4,70.5,101.4,84.1,91.7,80,70.8,75.7,119.6,51,60.9,81.2,84.4,74.8,63.1,84.5,62.3,70.5
01/08/2010,71.3,31.3,74.1,60.1,61,66.4,95.7,95.4,108.1,45.6,81.2,98.5,123.3,101.6,67.4,45.9,109.2,84.9,94.8,81.5,71.8,75.1,113.6,47.9,56.9,88.4,88.1,74.4,68,89.5,58.1,66.9
01/09/2010,72,16.9,75.7,59.2,60.6,67.5,103.4,95.7,101.2,44.8,83.1,156.6,116.7,104.1,66.5,46.6,102.5,81.4,87.2,82.2,75.7,75.2,113,45.9,56.5,78.5,89.2,72.6,80.9,86.2,56.6,68.1
01/10/2010,73.5,14.4,77.6,60,60.9,66.1,104.7,106.2,114.6,43,82.5,213.4,109.7,115,64.6,83.8,119.2,80.3,84.4,80.8,79.9,75.7,110.6,45.4,56.3,88.7,99.7,71.3,94.3,82.1,57.5,68.7
01/11/2010,71,24.3,75.9,56.6,60.5,63.1,100,95.8,110.4,43.1,81.3,182.5,107.4,100.6,65.4,84.2,106.7,76.3,84.8,85.3,74.9,77.4,97,45.4,51.1,91.3,82.3,71.9,83.6,86.9,54.8,62.9
01/12/2010,51.7,25.1,55,40.5,43.9,46.4,69.9,72.4,83.1,32.1,64.3,85.7,86.8,66.9,51.8,58.7,93.6,56.3,56.6,65.6,53.3,55.6,69.3,31.7,35.7,65,61.8,56.3,51.4,54.9,39.6,43.6
01/01/2011,70.9,17.8,72,63.4,59.6,65.6,97.1,100.4,106.7,46,84.2,84.7,106.7,118.6,59.2,85.9,116.7,89.1,89,85.8,64.8,80.7,117.5,49.2,60.3,79.2,103.7,71.4,66.9,92,59.6,76.4
01/02/2011,72.9,18.1,74.6,64.1,63.4,70.4,99.3,86.1,104.2,47.5,85.8,82.9,113.7,113,70.6,80.6,145.7,85.7,90,86.5,68.4,79.8,117.2,50.2,60.2,90.1,112.3,73.9,70.2,92.5,60.7,76.1
01/03/2011,83.7,15.5,85.9,73.1,71,79.6,112.2,113.9,122.6,53.8,109.5,105.9,124.8,118,78.1,107.7,155,91.3,99.6,98.2,78,99.6,130,57.2,66.2,108.4,129.5,84.2,78.9,119.7,70,83.6
01/04/2011,75.2,17.1,78.6,63.7,63.7,68.4,97.9,116.6,105.8,51.2,93.2,84.2,118.3,91.8,73.4,87.9,130.9,86.6,85.8,91,73,85,105.6,53.6,60.2,81.2,98.6,79.4,68.9,99,62.1,69.5
01/05/2011,84.4,20.6,87.3,72.7,72.5,74.8,109.2,132.9,111.4,57.2,107.5,97.3,135.2,109,80.8,98.8,145.4,95.8,93.8,96.5,82.3,96.2,129.1,58,71.7,91.6,114.1,87.7,76.4,114.4,71.3,77.7
01/06/2011,80.2,17.2,82.5,70.1,68.2,71.4,101,133.9,106.7,54.2,105.6,83.6,125.1,104.8,75,90.8,144.3,91.8,100.7,91.8,75,98.1,130.1,55.2,67.5,93.1,110.5,81.4,73.4,116.6,68.5,75.6
01/07/2011,82.6,15.3,85.8,69.7,71,73.4,103.9,133.9,110.1,55.8,106.7,77.3,134.6,119.4,77.9,97.8,165.6,89.2,105.9,98.1,78.6,97.6,130.9,57,62.2,100,103.5,86.6,73.8,112.2,68.2,75
01/08/2011,86.2,20.8,87.1,77.6,72.6,72.9,110.8,148.1,126.4,56.1,112.7,97.1,130.4,134.3,74.2,110.8,165.6,100.1,101.4,98.9,78.3,103,146.3,59.6,73.2,116.2,119,85.1,80.3,122.8,75,86.7
01/09/2011,84.9,17.9,87.5,73.9,68.2,72.5,115.5,152.9,132.3,51.9,110.5,136.5,127.1,117.1,76.5,110.5,169.2,96.6,103.9,97.6,79.8,105.1,131.8,55.9,69,127.6,115.6,82.3,90.4,121.5,71.1,83.6
01/10/2011,78.9,7.4,82.3,67.2,63.3,64.6,108.5,141.9,133.1,46.3,104,175.3,118.1,114.8,65.9,102.7,169.9,85,95.4,90.5,78.3,97.3,119,47.7,60.5,114.2,121.4,74.9,94,110.8,64,78.2
01/11/2011,77.7,9.5,80.1,67.1,60.8,68.3,105.5,139.6,135,46.3,101.5,158.5,120,100.5,70.8,99,157.5,80.2,105.8,83.7,76.5,90,118.4,50.2,62.3,127.5,114,73.7,91.2,100.9,66.4,69.8
01/12/2011,55.3,7,58.8,44.2,42.8,48.2,74.5,103.9,95.5,34.3,73.5,73.5,87,75.6,55.9,61.1,129.8,58,72.1,68.2,55.1,67.6,81.9,32.9,38.4,69.7,76.5,59.1,51.9,74.8,43.6,46.1
01/01/2012,77.5,9.2,76.2,73.2,60,65.6,105.1,148.2,135,50.7,104.4,75.2,118.5,123.9,62.1,97.1,170.6,89.8,105.7,87.9,66.2,95.9,137,54.2,61.5,122.7,132,73.4,71.2,113.1,70.7,81.6
01/02/2012,82.3,12.8,82.5,75.7,65.5,69.8,111.8,154.6,124.2,51.8,113.7,91,127.6,119.7,71.7,112.4,185.1,91.2,94.2,90,74.3,103.6,139.2,55.8,66,122.6,144.7,79.1,77.6,124.2,71.3,90.9
01/03/2012,87.9,5.1,89.5,78.1,69,72.1,118.3,174.4,142.6,57.7,127.1,87.4,141.2,117.6,76,110.2,168.8,97.2,101.3,104.6,78,109,148.4,60.5,67.2,123,140.7,86.5,82.9,132.3,75.3,87.6
01/04/2012,76,1,77.7,67.1,60,64.4,100.1,147.9,118.5,49.2,116.2,72.9,113.8,96.8,66,96.5,161.7,81.6,94.4,87,68.2,98.1,119.1,51.4,58.7,117.5,127.3,74.2,73.4,117.9,63.8,78.6
01/05/2012,93.5,10.9,95.6,83.9,75.1,80,120.9,177.5,145.3,63.1,137.1,83.8,148.7,114.8,78.6,120.5,205.7,103,106.2,109.2,84.6,117.9,147.9,65.5,74,135.5,144.3,93.2,87,139.9,80.6,95.3
01/06/2012,85.2,6.2,88.6,73.1,69.8,70.3,110.8,159.7,128.5,55.1,127.7,79.4,152,101.4,71.1,102,201.1,92.8,100.7,97.5,80.2,109.1,132.2,56.6,65.4,114.1,135.4,86.2,80.8,130.7,69,87.1
01/07/2012,88.9,7.6,91.2,77.9,71.7,72.8,114.8,174.3,137.5,55.6,130.7,81.3,155.4,116.9,73.7,113.1,190.4,101.1,101.3,99.8,81.9,115.2,142.4,58.8,68.8,135.4,138.5,88.2,83.6,137.7,74.7,88.6
01/08/2012,91.9,6.7,94.3,81.2,72.2,76.6,120.7,184.6,147.1,57.1,143.1,82.9,155.8,126.1,76.2,112.7,222.7,100.9,99.1,104.8,83.6,119.7,150.3,59.4,71.2,137.2,163.1,91.4,84.8,144.6,75.6,100.4
01/09/2012,87,2.4,88.9,76.9,67.5,72.1,114,178,145.2,49.8,136.1,130.4,142.7,130.8,67.5,108.4,187.2,93.5,105.8,93.8,80.2,116.8,150.9,53,68.4,135.5,154.1,81.1,92.4,143,71.5,95.2
01/10/2012,88.7,12.4,91.7,77.6,68,73.5,120.4,180.6,147.3,47.9,142.4,187.1,134,143.6,65.8,118.2,175.5,90.1,102,95.6,84.5,121.6,148,52.2,65.2,141.1,166.7,80.5,105.8,144.3,71.7,97.8
01/11/2012,80,3,83.1,68,62.1,66.6,110.4,157,127.9,45.8,134.2,100.9,128.6,113.7,61,112.8,179.8,80.4,101.1,89.5,73,113.4,119,48.9,57.1,140.1,144.4,77.3,80.7,136.8,64.3,80.7
01/12/2012,54.2,-1.9,58.3,43.5,41.4,42.2,78.3,107.7,97.1,31.3,94.2,69.5,91,85.2,39.4,70.5,121.3,52.4,66.5,63.7,51.9,78.6,89.5,30.3,36.3,85.1,85.8,54.6,55.7,95.6,41.7,49.6
01/01/2013,85.8,10.8,83.8,83.1,66.2,65.2,121.9,176.5,148.9,49.4,145.4,78.5,135.5,139.8,57.1,123.5,196.8,95.7,105.7,88.9,71.3,124.9,156.1,54.5,70.6,154.9,175.1,77.7,76.1,155.2,77.6,102.1
01/02/2013,83.6,1.7,82.5,78.9,65.3,65.5,114.7,172.5,132.3,49.7,144.1,81.5,128.4,120.7,56.6,121.4,192.9,91.7,99,86.6,69.6,120.9,145.6,53.9,68.4,154.5,166.7,74.9,78,156.4,73.9,95.9
01/03/2013,90.2,2.6,90.5,84,72.3,71.5,123,177,137.1,54.5,153.1,95.3,145.7,128.4,62.7,127.1,181.2,97,104.7,98.7,79.2,123.1,143,58.9,71.4,155.7,182.9,85.3,82.3,155.7,79.3,100.5
01/04/2013,89,17.2,89.1,83,72.4,70.5,116.2,180.9,126.1,56,145.7,72.2,141.1,122.1,64.9,126.7,198.9,97.5,103.8,97.7,76.6,122.2,142.3,59.9,69.5,156.2,178.6,84.8,78.7,154,78.2,99.6
01/05/2013,99.7,6.6,100.9,90.9,80.8,82.8,131.8,194.5,137.9,65.1,164.3,98.6,159.5,125,74.3,135.9,200,103.4,119,109.1,87,137.4,157.9,67.5,75.7,168.2,197.2,95.4,90.3,175.1,85.5,109.6
01/06/2013,88.2,3.5,89.1,79.7,74.5,68.4,115,167.7,119.3,54.1,149.4,95.3,138.6,121.2,64.3,119.9,189.7,93.5,100.5,95.7,76.7,122.1,145.6,57.5,68.7,144.4,173.8,82.6,83.8,156.8,75.2,95.1
01/07/2013,101.4,14.1,101.3,92.7,84.6,78.4,127,203.4,145.9,60.9,171.9,97.6,161,148.8,74.3,141.4,205.7,106.2,118.9,112.9,85,140,169.1,66.8,74.6,184.4,204.7,93.9,95,179.5,87.4,110.9
01/08/2013,99.5,8.3,99.7,91.3,80.7,75.4,132.5,201.8,153.7,56.9,177.1,92.8,150.8,153,71.8,135.1,220.6,107.3,112.3,109.4,82,147.4,175.6,63.5,75,174.3,202.8,90.5,96.5,183.9,85.2,112.2
01/09/2013,98.1,12.9,99.2,86.9,77,76.1,135.6,199.1,160,52.5,179,132.5,136,160.6,68.3,138,200,103.2,115.7,108.5,82.7,147.1,169,57.9,70.2,174.8,205,87.7,103.4,181.6,79,114.2
